id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pendidikan,jumlah_pengangguran,satuan,tahun
1045,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SMA (UMUM),9690.0,ORANG,2020
1046,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SMA (KEJURUAN),12077.0,ORANG,2020
1047,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,4039.0,ORANG,2020
1048,32,JAWA BARAT,3209,KABUPATEN CIREBON,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,9324.0,ORANG,2020
1049,32,JAWA BARAT,3209,KABUPATEN CIREBON,SD,20555.0,ORANG,2020
1050,32,JAWA BARAT,3209,KABUPATEN CIREBON,SMP,22801.0,ORANG,2020
1051,32,JAWA BARAT,3209,KABUPATEN CIREBON,SMA (UMUM),27117.0,ORANG,2020
1052,32,JAWA BARAT,3209,KABUPATEN CIREBON,SMA (KEJURUAN),40591.0,ORANG,2020
1053,32,JAWA BARAT,3209,KABUPATEN CIREBON,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1757.0,ORANG,2020
1054,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,1388.0,ORANG,2020
1055,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SD,7250.0,ORANG,2020
1056,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SMP,7763.0,ORANG,2020
1057,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SMA (UMUM),8604.0,ORANG,2020
1058,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SMA (KEJURUAN),10327.0,ORANG,2020
1059,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,3466.0,ORANG,2020
1060,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,0.0,ORANG,2020
1061,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SD,11645.0,ORANG,2020
1062,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMP,9550.0,ORANG,2020
1063,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMA (UMUM),14705.0,ORANG,2020
1064,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMA (KEJURUAN),20994.0,ORANG,2020
1065,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,6168.0,ORANG,2020
1066,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,9098.0,ORANG,2020
1067,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SD,18887.0,ORANG,2020
1068,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMP,16622.0,ORANG,2020
1069,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMA (UMUM),16060.0,ORANG,2020
1070,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMA (KEJURUAN),22182.0,ORANG,2020
1071,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,3812.0,ORANG,2020
1072,32,JAWA BARAT,3213,KABUPATEN SUBANG,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,2500.0,ORANG,2020
1073,32,JAWA BARAT,3213,KABUPATEN SUBANG,SD,10702.0,ORANG,2020
1074,32,JAWA BARAT,3213,KABUPATEN SUBANG,SMP,22923.0,ORANG,2020
1075,32,JAWA BARAT,3213,KABUPATEN SUBANG,SMA (UMUM),16337.0,ORANG,2020
1076,32,JAWA BARAT,3213,KABUPATEN SUBANG,SMA (KEJURUAN),19721.0,ORANG,2020
1077,32,JAWA BARAT,3213,KABUPATEN SUBANG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,6000.0,ORANG,2020
1078,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,2963.0,ORANG,2020
1079,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SD,9848.0,ORANG,2020
1080,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SMP,7623.0,ORANG,2020
1081,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SMA (UMUM),8652.0,ORANG,2020
1082,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SMA (KEJURUAN),14493.0,ORANG,2020
1083,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,4306.0,ORANG,2020
1084,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,8479.0,ORANG,2020
1085,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SD,16077.0,ORANG,2020
1086,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SMP,27905.0,ORANG,2020
1087,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SMA (UMUM),30187.0,ORANG,2020
1088,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SMA (KEJURUAN),43900.0,ORANG,2020
1089,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,7350.0,ORANG,2020
1090,32,JAWA BARAT,3216,KABUPATEN BEKASI,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,2631.0,ORANG,2020
1091,32,JAWA BARAT,3216,KABUPATEN BEKASI,SD,19565.0,ORANG,2020
1092,32,JAWA BARAT,3216,KABUPATEN BEKASI,SMP,21685.0,ORANG,2020
1093,32,JAWA BARAT,3216,KABUPATEN BEKASI,SMA (UMUM),52765.0,ORANG,2020
1094,32,JAWA BARAT,3216,KABUPATEN BEKASI,SMA (KEJURUAN),78946.0,ORANG,2020
1095,32,JAWA BARAT,3216,KABUPATEN BEKASI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,36843.0,ORANG,2020
1096,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,4832.0,ORANG,2020
1097,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SD,22449.0,ORANG,2020
1098,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SMP,17154.0,ORANG,2020
1099,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SMA (UMUM),23553.0,ORANG,2020
1100,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SMA (KEJURUAN),18112.0,ORANG,2020
1101,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,5457.0,ORANG,2020
1102,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,474.0,ORANG,2020
1103,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SD,2951.0,ORANG,2020
1104,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SMP,3489.0,ORANG,2020
1105,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SMA (UMUM),2042.0,ORANG,2020
1106,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SMA (KEJURUAN),2836.0,ORANG,2020
